ProjectID,GenID,Chromosome,Duration,Fitness,Mutated,ProjectRunningStats,A,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A6.0;A4.0;A7.0;A8.0;A5.0-f;A6.0-f;A7.0-f;A9.0;A10.0;,44.31107,0.02257,false,Chromosome ExcutionStats Pname A ST 0.0 ET 44.31107 Duration 44.31107 Criticalpath Dur= 22.99808||,21.31299,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A6.0;A7.0;A4.0;A8.0;A5.0-f;A6.0-f;A1.0-f;A7.0-f;A2.0-f;A8.0-f;A3.0-f;A4.0-f;A5.0-ff;A1.0-ff;A2.0-ff;A6.0-ff;A9.0;A3.0-ff;A10.0;,54.67187,0.01829,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.67187 Duration 54.67187 Criticalpath Dur= 22.99808||,31.67379,
GPID-1,1,A5.0;A1.0;A6.0;A2.0;A7.0;A3.0;A4.0;A8.0;A5.0-f;A1.0-f;A6.0-f;A7.0-f;A2.0-f;A8.0-f;A5.0-ff;A3.0-f;A6.0-ff;A4.0-f;A1.0-ff;A9.0;A2.0-ff;A3.0-ff;A10.0;,53.199,0.0188,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.199 Duration 53.199 Criticalpath Dur= 22.99808||,30.20092,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A7.0;A8.0;A5.0-f;A3.0;A6.0-f;A7.0-f;A4.0;A1.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A4.0-f;A7.0-ff;A1.0-ff;A8.0-ff;A9.0;A2.0-ff;A3.0-ff;A10.0;,54.02874,0.01851,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.02874 Duration 54.02874 Criticalpath Dur= 22.99808||,31.03066,
GPID-1,1,A5.0;A6.0;A1.0;A7.0;A8.0;A2.0;A3.0;A5.0-f;A4.0;A6.0-f;A7.0-f;A8.0-f;A1.0-f;A5.0-ff;A2.0-f;A3.0-f;A6.0-ff;A4.0-f;A7.0-ff;A1.0-ff;A2.0-ff;A8.0-ff;A3.0-ff;A9.0;A10.0;,51.3588,0.01947,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.3588 Duration 51.3588 Criticalpath Dur= 22.99808||,28.36072,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A7.0;A3.0;A4.0;A1.0-f;A2.0-f;A3.0-f;A8.0;A5.0-f;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A4.0-f;A6.0-ff;A1.0-ff;A7.0-ff;A2.0-ff;A8.0-ff;A9.0;A3.0-ff;A10.0;,54.36843,0.01839,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.36843 Duration 54.36843 Criticalpath Dur= 22.99808||,31.37035,
GPID-1,1,A5.0;A1.0;A2.0;A3.0;A6.0;A4.0;A7.0;A8.0;A1.0-f;A2.0-f;A5.0-f;A3.0-f;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A4.0-f;A6.0-ff;A9.0;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,53.98065,0.01853,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.98065 Duration 53.98065 Criticalpath Dur= 22.99808||,30.98257,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A8.0;A3.0;A4.0;A1.0-f;A2.0-f;A5.0-f;A6.0-f;A7.0-f;A3.0-f;A4.0-f;A8.0-f;A5.0-ff;A1.0-ff;A6.0-ff;A2.0-ff;A7.0-ff;A3.0-ff;A8.0-ff;A9.0;A10.0;,54.12603,0.01848,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.12603 Duration 54.12603 Criticalpath Dur= 22.99808||,31.12795,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A3.0;A4.0;A1.0-f;A7.0;A2.0-f;A8.0;A5.0-f;A3.0-f;A4.0-f;A6.0-f;A7.0-f;A8.0-f;A1.0-ff;A5.0-ff;A2.0-ff;A6.0-ff;A3.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,54.01277,0.01851,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.01277 Duration 54.01277 Criticalpath Dur= 22.99808||,31.01469,
GPID-1,1,A5.0;A6.0;A1.0;A7.0;A2.0;A3.0;A4.0;A8.0;A1.0-f;A5.0-f;A2.0-f;A6.0-f;A3.0-f;A7.0-f;A4.0-f;A1.0-ff;A8.0-f;A9.0;A2.0-ff;A3.0-ff;A10.0;,50.18503,0.01993,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.18503 Duration 50.18503 Criticalpath Dur= 22.99808||,27.18695,
GPID-1,1,A5.0;A1.0;A6.0;A2.0;A7.0;A8.0;A5.0-f;A3.0;A6.0-f;A7.0-f;A4.0;A8.0-f;A5.0-ff;A1.0-f;A2.0-f;A6.0-ff;A3.0-f;A7.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,48.85313,0.02047,false,Chromosome ExcutionStats Pname A ST 0.0 ET 48.85313 Duration 48.85313 Criticalpath Dur= 22.99808||,25.85505,
GPID-1,1,A5.0;A1.0;A2.0;A3.0;A6.0;A4.0;A7.0;A1.0-f;A8.0;A5.0-f;A2.0-f;A6.0-f;A3.0-f;A7.0-f;A4.0-f;A1.0-ff;A8.0-f;A9.0;A2.0-ff;A10.0;,50.05531,0.01998,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.05531 Duration 50.05531 Criticalpath Dur= 22.99808||,27.05723,
GPID-1,1,A5.0;A1.0;A2.0;A3.0;A4.0;A6.0;A1.0-f;A7.0;A2.0-f;A8.0;A3.0-f;A5.0-f;A4.0-f;A6.0-f;A1.0-ff;A7.0-f;A8.0-f;A9.0;A2.0-ff;A3.0-ff;A10.0;,50.42743,0.01983,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.42743 Duration 50.42743 Criticalpath Dur= 22.99808||,27.42935,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A4.0;A7.0;A1.0-f;A8.0;A5.0-f;A2.0-f;A3.0-f;A6.0-f;A4.0-f;A1.0-ff;A7.0-f;A2.0-ff;A8.0-f;A3.0-ff;A5.0-ff;A6.0-ff;A9.0;A10.0;,53.53295,0.01868,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.53295 Duration 53.53295 Criticalpath Dur= 22.99808||,30.53487,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A3.0;A4.0;A1.0-f;A7.0;A8.0;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A5.0-f;A6.0-f;A2.0-ff;A7.0-f;A3.0-ff;A8.0-f;A9.0;A10.0;,51.24263,0.01952,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.24263 Duration 51.24263 Criticalpath Dur= 22.99808||,28.24455,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A7.0;A3.0;A4.0;A8.0;A5.0-f;A1.0-f;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A7.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,53.55463,0.01867,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.55463 Duration 53.55463 Criticalpath Dur= 22.99808||,30.55655,
GPID-1,1,A5.0;A1.0;A6.0;A7.0;A2.0;A8.0;A3.0;A5.0-f;A4.0;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A1.0-f;A2.0-f;A6.0-ff;A3.0-f;A4.0-f;A7.0-ff;A1.0-ff;A8.0-ff;A9.0;A2.0-ff;A3.0-ff;A10.0;,51.3588,0.01947,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.3588 Duration 51.3588 Criticalpath Dur= 22.99808||,28.36072,
GPID-1,1,A5.0;A6.0;A1.0;A2.0;A7.0;A3.0;A4.0;A1.0-f;A8.0;A2.0-f;A5.0-f;A3.0-f;A6.0-f;A7.0-f;A4.0-f;A8.0-f;A1.0-ff;A5.0-ff;A2.0-ff;A6.0-ff;A3.0-ff;A7.0-ff;A9.0;A10.0;,53.61949,0.01865,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.61949 Duration 53.61949 Criticalpath Dur= 22.99808||,30.62141,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A4.0;A7.0;A1.0-f;A8.0;A2.0-f;A3.0-f;A5.0-f;A4.0-f;A1.0-ff;A6.0-f;A2.0-ff;A7.0-f;A8.0-f;A5.0-ff;A3.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,54.336,0.0184,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.336 Duration 54.336 Criticalpath Dur= 22.99808||,31.33792,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A4.0;A6.0;A7.0;A8.0;A5.0-f;A1.0-f;A2.0-f;A6.0-f;A3.0-f;A4.0-f;A1.0-ff;A7.0-f;A2.0-ff;A8.0-f;A9.0;A10.0;,50.48655,0.01981,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.48655 Duration 50.48655 Criticalpath Dur= 22.99808||,27.48847,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A7.0;A4.0;A8.0;A1.0-f;A5.0-f;A2.0-f;A3.0-f;A6.0-f;A4.0-f;A7.0-f;A8.0-f;A1.0-ff;A5.0-ff;A2.0-ff;A6.0-ff;A9.0;A3.0-ff;A10.0;,53.94822,0.01854,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.94822 Duration 53.94822 Criticalpath Dur= 22.99808||,30.95014,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A4.0;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A6.0;A7.0;A2.0-ff;A8.0;A3.0-ff;A5.0-f;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,55.18363,0.01812,false,Chromosome ExcutionStats Pname A ST 0.0 ET 55.18363 Duration 55.18363 Criticalpath Dur= 22.99808||,32.18555,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A3.0;A8.0;A5.0-f;A4.0;A6.0-f;A1.0-f;A7.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,50.44823,0.01982,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.44823 Duration 50.44823 Criticalpath Dur= 22.99808||,27.45015,
GPID-1,1,A1.0;A2.0;A5.0;A3.0;A6.0;A7.0;A4.0;A8.0;A1.0-f;A5.0-f;A2.0-f;A6.0-f;A3.0-f;A7.0-f;A4.0-f;A1.0-ff;A8.0-f;A5.0-ff;A9.0;A2.0-ff;A3.0-ff;A10.0;,51.78599,0.01931,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.78599 Duration 51.78599 Criticalpath Dur= 22.99808||,28.78791,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A3.0;A4.0;A7.0;A8.0;A1.0-f;A5.0-f;A2.0-f;A6.0-f;A3.0-f;A7.0-f;A8.0-f;A5.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,51.80245,0.0193,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.80245 Duration 51.80245 Criticalpath Dur= 22.99808||,28.80437,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A3.0;A4.0;A8.0;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A5.0-f;A6.0-f;A1.0-ff;A7.0-f;A8.0-f;A2.0-ff;A5.0-ff;A9.0;A3.0-ff;A10.0;,52.60693,0.01901,false,Chromosome ExcutionStats Pname A ST 0.0 ET 52.60693 Duration 52.60693 Criticalpath Dur= 22.99808||,29.60885,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A7.0;A4.0;A8.0;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A5.0-f;A6.0-f;A2.0-ff;A7.0-f;A8.0-f;A5.0-ff;A3.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,55.58244,0.01799,false,Chromosome ExcutionStats Pname A ST 0.0 ET 55.58244 Duration 55.58244 Criticalpath Dur= 22.99808||,32.58436,
GPID-1,1,A1.0;A2.0;A3.0;A5.0;A4.0;A6.0;A1.0-f;A7.0;A2.0-f;A8.0;A3.0-f;A5.0-f;A4.0-f;A1.0-ff;A6.0-f;A2.0-ff;A7.0-f;A3.0-ff;A8.0-f;A5.0-ff;A6.0-ff;A9.0;A10.0;,57.82787,0.01729,false,Chromosome ExcutionStats Pname A ST 0.0 ET 57.82787 Duration 57.82787 Criticalpath Dur= 22.99808||,34.82979,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A8.0;A5.0-f;A6.0-f;A3.0;A4.0;A1.0-f;A7.0-f;A8.0-f;A5.0-ff;A2.0-f;A3.0-f;A6.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,48.41667,0.02065,false,Chromosome ExcutionStats Pname A ST 0.0 ET 48.41667 Duration 48.41667 Criticalpath Dur= 22.99808||,25.41859,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A3.0;A4.0;A1.0-f;A2.0-f;A3.0-f;A8.0;A4.0-f;A1.0-ff;A5.0-f;A6.0-f;A2.0-ff;A7.0-f;A3.0-ff;A8.0-f;A5.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,55.28092,0.01809,false,Chromosome ExcutionStats Pname A ST 0.0 ET 55.28092 Duration 55.28092 Criticalpath Dur= 22.99808||,32.28284,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A7.0;A8.0;A4.0;A5.0-f;A6.0-f;A7.0-f;A1.0-f;A8.0-f;A2.0-f;A3.0-f;A4.0-f;A9.0;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,51.25909,0.01951,false,Chromosome ExcutionStats Pname A ST 0.0 ET 51.25909 Duration 51.25909 Criticalpath Dur= 22.99808||,28.26101,
GPID-1,1,A5.0;A1.0;A2.0;A3.0;A4.0;A6.0;A1.0-f;A7.0;A2.0-f;A8.0;A3.0-f;A5.0-f;A6.0-f;A7.0-f;A8.0-f;A4.0-f;A5.0-ff;A1.0-ff;A6.0-ff;A2.0-ff;A7.0-ff;A9.0;A3.0-ff;A10.0;,53.87786,0.01856,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.87786 Duration 53.87786 Criticalpath Dur= 22.99808||,30.87978,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A7.0;A8.0;A5.0-f;A6.0-f;A3.0;A4.0;A7.0-f;A8.0-f;A1.0-f;A5.0-ff;A9.0;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,47.39336,0.0211,false,Chromosome ExcutionStats Pname A ST 0.0 ET 47.39336 Duration 47.39336 Criticalpath Dur= 22.99808||,24.39528,
GPID-1,1,A5.0;A1.0;A6.0;A2.0;A7.0;A8.0;A5.0-f;A3.0;A4.0;A1.0-f;A6.0-f;A7.0-f;A2.0-f;A8.0-f;A5.0-ff;A3.0-f;A4.0-f;A1.0-ff;A6.0-ff;A9.0;A2.0-ff;A3.0-ff;A10.0;,48.40021,0.02066,false,Chromosome ExcutionStats Pname A ST 0.0 ET 48.40021 Duration 48.40021 Criticalpath Dur= 22.99808||,25.40213,
GPID-1,1,A5.0;A1.0;A6.0;A2.0;A7.0;A3.0;A4.0;A8.0;A9.0;A10.0;,35.64596,0.02805,false,Chromosome ExcutionStats Pname A ST 0.0 ET 35.64596 Duration 35.64596 Criticalpath Dur= 22.99808||,12.64788,
GPID-1,1,A5.0;A6.0;A1.0;A7.0;A8.0;A5.0-f;A2.0;A3.0;A4.0;A6.0-f;A7.0-f;A1.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A7.0-ff;A4.0-f;A8.0-ff;A9.0;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,48.91246,0.02044,false,Chromosome ExcutionStats Pname A ST 0.0 ET 48.91246 Duration 48.91246 Criticalpath Dur= 22.99808||,25.91438,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A7.0;A4.0;A8.0;A5.0-f;A1.0-f;A6.0-f;A7.0-f;A8.0-f;A5.0-ff;A9.0;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,52.5261,0.01904,false,Chromosome ExcutionStats Pname A ST 0.0 ET 52.5261 Duration 52.5261 Criticalpath Dur= 22.99808||,29.52802,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A4.0;A6.0;A1.0-f;A7.0;A8.0;A2.0-f;A5.0-f;A3.0-f;A4.0-f;A6.0-f;A7.0-f;A1.0-ff;A8.0-f;A5.0-ff;A2.0-ff;A6.0-ff;A3.0-ff;A7.0-ff;A9.0;A10.0;,53.50574,0.01869,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.50574 Duration 53.50574 Criticalpath Dur= 22.99808||,30.50766,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A7.0;A3.0;A4.0;A8.0;A9.0;A10.0;,37.83493,0.02643,false,Chromosome ExcutionStats Pname A ST 0.0 ET 37.83493 Duration 37.83493 Criticalpath Dur= 22.99808||,14.83685,
GPID-1,1,A1.0;A5.0;A6.0;A7.0;A2.0;A8.0;A5.0-f;A6.0-f;A3.0;A7.0-f;A4.0;A8.0-f;A5.0-ff;A1.0-f;A6.0-ff;A2.0-f;A3.0-f;A7.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,49.57678,0.02017,false,Chromosome ExcutionStats Pname A ST 0.0 ET 49.57678 Duration 49.57678 Criticalpath Dur= 22.99808||,26.5787,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A6.0;A7.0;A8.0;A5.0-f;A6.0-f;A4.0;A7.0-f;A1.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A4.0-f;A9.0;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,53.54941,0.01867,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.54941 Duration 53.54941 Criticalpath Dur= 22.99808||,30.55133,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A7.0;A8.0;A9.0;A3.0;A4.0;A10.0;,37.83493,0.02643,false,Chromosome ExcutionStats Pname A ST 0.0 ET 37.83493 Duration 37.83493 Criticalpath Dur= 22.99808||,14.83685,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A3.0;A7.0;A4.0;A8.0;A5.0-f;A6.0-f;A1.0-f;A7.0-f;A8.0-f;A2.0-f;A5.0-ff;A3.0-f;A6.0-ff;A4.0-f;A7.0-ff;A1.0-ff;A8.0-ff;A9.0;A2.0-ff;A3.0-ff;A10.0;,54.02874,0.01851,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.02874 Duration 54.02874 Criticalpath Dur= 22.99808||,31.03066,
GPID-1,1,A5.0;A1.0;A6.0;A2.0;A3.0;A7.0;A8.0;A4.0;A1.0-f;A5.0-f;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A6.0-f;A2.0-ff;A7.0-f;A3.0-ff;A8.0-f;A5.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,54.12603,0.01848,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.12603 Duration 54.12603 Criticalpath Dur= 22.99808||,31.12795,
GPID-1,1,A1.0;A5.0;A2.0;A3.0;A6.0;A7.0;A8.0;A4.0;A5.0-f;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A1.0-ff;A6.0-f;A2.0-ff;A7.0-f;A3.0-ff;A8.0-f;A9.0;A10.0;,50.51898,0.01979,false,Chromosome ExcutionStats Pname A ST 0.0 ET 50.51898 Duration 50.51898 Criticalpath Dur= 22.99808||,27.5209,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A7.0;A8.0;A5.0-f;A3.0;A4.0;A6.0-f;A1.0-f;A7.0-f;A2.0-f;A3.0-f;A8.0-f;A5.0-ff;A4.0-f;A1.0-ff;A6.0-ff;A2.0-ff;A7.0-ff;A3.0-ff;A8.0-ff;A9.0;A10.0;,54.36843,0.01839,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.36843 Duration 54.36843 Criticalpath Dur= 22.99808||,31.37035,
GPID-1,1,A5.0;A1.0;A6.0;A7.0;A2.0;A3.0;A8.0;A4.0;A1.0-f;A5.0-f;A2.0-f;A3.0-f;A4.0-f;A6.0-f;A1.0-ff;A7.0-f;A8.0-f;A5.0-ff;A2.0-ff;A6.0-ff;A3.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,54.0936,0.01849,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.0936 Duration 54.0936 Criticalpath Dur= 22.99808||,31.09552,
GPID-1,1,A5.0;A1.0;A2.0;A6.0;A7.0;A3.0;A8.0;A5.0-f;A4.0;A6.0-f;A7.0-f;A1.0-f;A8.0-f;A5.0-ff;A2.0-f;A6.0-ff;A3.0-f;A7.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,53.55463,0.01867,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.55463 Duration 53.55463 Criticalpath Dur= 22.99808||,30.55655,
GPID-1,1,A1.0;A5.0;A6.0;A2.0;A3.0;A7.0;A4.0;A8.0;A5.0-f;A6.0-f;A1.0-f;A2.0-f;A3.0-f;A4.0-f;A7.0-f;A1.0-ff;A8.0-f;A5.0-ff;A2.0-ff;A3.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,54.83371,0.01824,false,Chromosome ExcutionStats Pname A ST 0.0 ET 54.83371 Duration 54.83371 Criticalpath Dur= 22.99808||,31.83563,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A7.0;A8.0;A3.0;A4.0;A5.0-f;A6.0-f;A1.0-f;A7.0-f;A2.0-f;A8.0-f;A3.0-f;A5.0-ff;A9.0;A4.0-f;A1.0-ff;A2.0-ff;A3.0-ff;A10.0;,52.5261,0.01904,false,Chromosome ExcutionStats Pname A ST 0.0 ET 52.5261 Duration 52.5261 Criticalpath Dur= 22.99808||,29.52802,
GPID-1,1,A1.0;A5.0;A2.0;A6.0;A7.0;A3.0;A4.0;A1.0-f;A2.0-f;A8.0;A5.0-f;A3.0-f;A4.0-f;A1.0-ff;A6.0-f;A2.0-ff;A7.0-f;A8.0-f;A5.0-ff;A3.0-ff;A6.0-ff;A7.0-ff;A8.0-ff;A9.0;A10.0;,53.99631,0.01852,false,Chromosome ExcutionStats Pname A ST 0.0 ET 53.99631 Duration 53.99631 Criticalpath Dur= 22.99808||,30.99823,
